cluster,context_field,rank,context_value,fuzzy_mass,fuzzy_mass_share
0,logical_question_id,1,tenant_point_rollup,210.6680984454718,0.4487244838685334
0,logical_question_id,2,multi_dimension_rollup,40.16563637913273,0.08555307892591331
0,logical_question_id,3,event_filter_summary,38.563855628774554,0.0821412750230976
0,logical_question_id,4,top_tenants,38.552829888030345,0.08211779012025175
0,logical_question_id,5,user_value_topk,38.36922450930537,0.0817267094136246
0,execution_strategy,1,single_region_citus,276.6573336481237,0.5892820040896294
0,execution_strategy,2,multiregion_union,131.53782747738433,0.28017646800592827
0,execution_strategy,3,fdw_raw,60.93425886986036,0.1297903862191405
0,execution_strategy,4,etl_materialized,0.35264755143610377,0.0007511416853018501
0,dataset_id,1,pilot-balanced-v1,260.8177730798046,0.5555436322470457
0,dataset_id,2,pilot-skew-heavy-v1,208.66429446699988,0.44445636775295433
0,runtime_config_id,1,default,462.673718126988,0.985498169386123
0,runtime_config_id,2,fetch_small,3.523361910298947,0.007504784855169552
0,runtime_config_id,3,fetch_large,1.7215104249444146,0.003666828924776324
0,runtime_config_id,4,work_mem_low,0.8578050231378772,0.0018271305390218323
0,runtime_config_id,5,work_mem_high,0.705672061435278,0.0015030862949092871
1,logical_question_id,1,top_tenants,197.55081034299712,0.20788569266677584
1,logical_question_id,2,daily_tenant_rollup,146.38755028585095,0.15404582363458458
1,logical_question_id,3,tenant_tier_daily_join,124.73060821924558,0.131255897363244
1,logical_question_id,4,multi_dimension_rollup,111.68287037665883,0.11752556634394223
1,logical_question_id,5,global_user_topk,82.26727696020143,0.08657109441863248
1,execution_strategy,1,multiregion_union,499.8220776842905,0.5259702992315722
1,execution_strategy,2,fdw_raw,440.9035430594013,0.46396943798407647
1,execution_strategy,3,single_region_citus,9.426439796776629,0.009919584552106783
1,execution_strategy,4,etl_materialized,0.13368451874213114,0.0001406782322445566
1,dataset_id,1,pilot-skew-heavy-v1,489.7189821304571,0.5153386596364693
1,dataset_id,2,pilot-balanced-v1,460.56676292875335,0.48466134036353065
1,runtime_config_id,1,default,759.6402996114149,0.7993809268012152
1,runtime_config_id,2,fetch_large,53.4003333989016,0.056193974998093164
1,runtime_config_id,3,fetch_small,51.8189972402721,0.05452991114482451
1,runtime_config_id,4,work_mem_high,42.92465732299299,0.045170263308872895
1,runtime_config_id,5,work_mem_low,42.50145748562888,0.044724923746994334
2,logical_question_id,1,tenant_point_rollup,77.89545673972734,0.31520308189026874
2,logical_question_id,2,event_raw_wide_sample,57.11706438730751,0.23112355298922482
2,logical_question_id,3,daily_tenant_rollup,54.15752815588403,0.21914782320786483
2,logical_question_id,4,event_filter_summary,21.103641804754805,0.08539564711961546
2,logical_question_id,5,tenant_tier_daily_join,10.653074562306475,0.04310754534587996
2,execution_strategy,1,multiregion_union,143.81511858140914,0.5819462456037624
2,execution_strategy,2,fdw_raw,72.52690720645798,0.2934793071158147
2,execution_strategy,3,single_region_citus,30.5338741485279,0.12355497530264932
2,execution_strategy,4,etl_materialized,0.25193990764873053,0.0010194719777736234
2,dataset_id,1,pilot-skew-heavy-v1,158.47837955001228,0.6412809647428799
2,dataset_id,2,pilot-balanced-v1,88.64946029403146,0.3587190352571201
2,runtime_config_id,1,default,213.99544562604223,0.8659301427192075
2,runtime_config_id,2,fetch_large,16.473820331554347,0.06666112705857247
2,runtime_config_id,3,fetch_small,14.1133387055246,0.05710946494102478
2,runtime_config_id,4,work_mem_low,1.378455412449382,0.005577904186429547
2,runtime_config_id,5,work_mem_high,1.16677976847317,0.004721361094765754
3,logical_question_id,1,tenant_point_rollup,72.55727417586432,0.24421478438200206
3,logical_question_id,2,global_user_topk,68.08857687964691,0.22917394996450416
3,logical_question_id,3,user_segment_topk,40.92498467021869,0.13774616564080897
3,logical_question_id,4,multi_dimension_rollup,40.90339278008376,0.1376734912073549
3,logical_question_id,5,top_tenants,40.446574541724054,0.13613592286772325
3,execution_strategy,1,etl_materialized,239.26172802217303,0.8053121066562473
3,execution_strategy,2,single_region_citus,35.38235240657175,0.11909065854589763
3,execution_strategy,3,fdw_raw,11.635290864280407,0.0391623042888142
3,execution_strategy,4,multiregion_union,10.824976256916063,0.03643493050904096
3,dataset_id,1,pilot-skew-heavy-v1,152.1383438525307,0.5120704059268512
3,dataset_id,2,pilot-balanced-v1,144.96600369741054,0.48792959407314873
3,runtime_config_id,1,default,293.69053663555485,0.9885097241338329
3,runtime_config_id,2,fetch_small,2.544302143904359,0.00856366513949002
3,runtime_config_id,3,fetch_large,0.40433584459963995,0.0013609220058002475
3,runtime_config_id,4,work_mem_low,0.2622820787838547,0.0008827944826346467
3,runtime_config_id,5,work_mem_high,0.20289084709856284,0.0006828942382421995
