k,seed,context_column,nmi,context_distinct_values
4,0,template_id,0.4856098528998556,41
4,1,template_id,0.4856098528998556,41
4,2,template_id,0.4856098528998556,41
4,3,template_id,0.4856098528998556,41
4,4,template_id,0.4856098528998556,41
4,5,template_id,0.4856098528998556,41
4,6,template_id,0.4856098528998556,41
4,7,template_id,0.4856098528998556,41
4,8,template_id,0.4856098528998556,41
4,9,template_id,0.4856098528998556,41
4,0,execution_strategy,0.38839873805488295,4
4,1,execution_strategy,0.38839873805488295,4
4,2,execution_strategy,0.38839873805488295,4
4,3,execution_strategy,0.38839873805488295,4
4,4,execution_strategy,0.38839873805488295,4
4,5,execution_strategy,0.38839873805488295,4
4,6,execution_strategy,0.38839873805488295,4
4,7,execution_strategy,0.38839873805488295,4
4,8,execution_strategy,0.38839873805488295,4
4,9,execution_strategy,0.38839873805488295,4
4,0,logical_question_id,0.33217624475653423,11
4,1,logical_question_id,0.33217624475653423,11
4,2,logical_question_id,0.33217624475653423,11
4,3,logical_question_id,0.33217624475653423,11
4,4,logical_question_id,0.33217624475653423,11
4,5,logical_question_id,0.33217624475653423,11
4,6,logical_question_id,0.33217624475653423,11
4,7,logical_question_id,0.33217624475653423,11
4,8,logical_question_id,0.33217624475653423,11
4,9,logical_question_id,0.33217624475653423,11
4,0,runtime_config_id,0.10960835947993229,5
4,1,runtime_config_id,0.10960835947993229,5
4,2,runtime_config_id,0.10960835947993229,5
4,3,runtime_config_id,0.10960835947993229,5
4,4,runtime_config_id,0.10960835947993229,5
4,5,runtime_config_id,0.10960835947993229,5
4,6,runtime_config_id,0.10960835947993229,5
4,7,runtime_config_id,0.10960835947993229,5
4,8,runtime_config_id,0.10960835947993229,5
4,9,runtime_config_id,0.10960835947993229,5
4,7,runtime_intervention_axis,0.10358538037389735,3
4,0,runtime_intervention_axis,0.10358538037389732,3
4,0,intervention_axis,0.10358538037389732,3
4,1,runtime_intervention_axis,0.10358538037389732,3
4,1,intervention_axis,0.10358538037389732,3
4,2,runtime_intervention_axis,0.10358538037389732,3
4,2,intervention_axis,0.10358538037389732,3
4,3,runtime_intervention_axis,0.10358538037389732,3
4,3,intervention_axis,0.10358538037389732,3
4,4,runtime_intervention_axis,0.10358538037389732,3
4,4,intervention_axis,0.10358538037389732,3
4,5,runtime_intervention_axis,0.10358538037389732,3
4,5,intervention_axis,0.10358538037389732,3
4,6,runtime_intervention_axis,0.10358538037389732,3
4,6,intervention_axis,0.10358538037389732,3
