decision_id,trajectory_id,source_state_id,target_state_id,action_id,reference_view,domain_id,relative_pressure_evidence,status,conflicting_component_signs,positive_component_count,negative_component_count
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,previous_accepted_state,remote_fdw_path,0.0,available,True,2,2
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,previous_accepted_state,regional_reduction,0.0,available,False,1,0
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,previous_accepted_state,gac_finalization,0.0,available,False,0,1
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,previous_accepted_state,imbalance,0.0,available,False,1,0
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,previous_accepted_state,disk_spill,0.0,available,False,0,0
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,previous_accepted_state,repartition_locality,,insufficient_evidence,False,0,0
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,prior_logical_question_history,remote_fdw_path,0.0,available,True,2,2
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,prior_logical_question_history,regional_reduction,0.0,available,False,1,0
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,prior_logical_question_history,gac_finalization,0.0,available,False,0,1
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,prior_logical_question_history,imbalance,0.0,available,False,1,0
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,prior_logical_question_history,disk_spill,0.0,available,False,0,0
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,prior_logical_question_history,repartition_locality,,insufficient_evidence,False,0,0
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,trajectory_origin,remote_fdw_path,0.0,available,True,2,2
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,trajectory_origin,regional_reduction,0.0,available,False,1,0
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,trajectory_origin,gac_finalization,0.0,available,False,0,1
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,trajectory_origin,imbalance,0.0,available,False,1,0
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,trajectory_origin,disk_spill,0.0,available,False,0,0
aggregate-exact-fetch-size,trajectory_aggregate_exact_full_flow,A_raw_baseline,B_fetch_size,fdw_fetch_size_10000,trajectory_origin,repartition_locality,,insufficient_evidence,False,0,0
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,previous_accepted_state,remote_fdw_path,0.02043739389085437,available,True,3,2
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,previous_accepted_state,regional_reduction,1.1485662829938943,available,True,2,1
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,previous_accepted_state,gac_finalization,-1.1485662829938943,available,False,0,3
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,previous_accepted_state,imbalance,-0.25835453993515295,available,False,0,2
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,previous_accepted_state,disk_spill,-1.1485671624648253,available,False,0,1
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,previous_accepted_state,repartition_locality,,insufficient_evidence,False,0,0
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,prior_logical_question_history,remote_fdw_path,0.02519450457466233,available,True,3,2
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,prior_logical_question_history,regional_reduction,1.999980609135466,available,True,2,1
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,prior_logical_question_history,gac_finalization,-1.9999973333351104,available,False,0,3
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,prior_logical_question_history,imbalance,-0.2857142854693877,available,False,0,2
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,prior_logical_question_history,disk_spill,-1.9999992553986392,available,False,0,1
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,prior_logical_question_history,repartition_locality,,insufficient_evidence,False,0,0
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,trajectory_origin,remote_fdw_path,0.030012087668429496,available,True,3,2
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,trajectory_origin,regional_reduction,1.1485662829938943,available,True,2,1
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,trajectory_origin,gac_finalization,-1.1485662829938943,available,False,0,3
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,trajectory_origin,imbalance,-0.25835453993515295,available,False,0,2
aggregate-exact-pushdown,trajectory_aggregate_exact_full_flow,B_fetch_size,C_regional_aggregate,regional_pushdown_rewrite,trajectory_origin,disk_spill,-1.1485671624648253,available,False,0,1
